,Q,A,greedyA,selfA,greedyMatch,selfMatch,agree
1,Who is not famous for a superhighway with no speed limit?,E. america,"E. america

The Autobahn in Germany is famous for having sections with no speed limit, not America.","E. america

This is because while America has the famous Texas State Highway 130, which is a toll road with a speed limit of 85 mph, but not a superhighway with no speed limit. However, what comes to mind is the German autobahn, a famous highway in Germany (option B) that is well-known for sections with no speed limit, especially for experienced drivers.",True,True,True
2,He was beginning to regret taking the fight when he saw how what his opponent was?,D. confident,"D

He was beginning to regret taking the fight when he saw how what his opponent was: This sentence implies that the speaker is having second thoughts about the fight after seeing his opponent's demeanor. The correct answer is ""confident"" because it suggests that the opponent's attitude or expression is one of self-assurance, which might intimidate or unsettle the speaker.","D. 

He was beginning to regret taking the fight when he saw how what his opponent was: This implies that the opponent's demeanor or expression changed as a result of the fight, and that change made him regret his decision to fight. The word that best completes this sentence is ""confident"" because it suggests a shift in the opponent's attitude or demeanor, possibly becoming more confident as the fight progressed.",True,True,True
3,Where is the ideal location for a post office?,E. center of town,"E. center of town

The ideal location for a post office is typically at the center of town, as it allows for easy access and visibility for the community. This location also tends to have a high foot traffic, making it convenient for customers to visit and conduct their postal business.","E. center of town

The ideal location for a post office is typically at the center of town, which allows for easy access and visibility by the public. This location helps to ensure that postal services are readily available to the community, and it often facilitates foot traffic, making it convenient for customers to drop off mail and packages, and for postal workers to serve the community effectively.",True,True,True
4,When going to sleep what happens to your body?,D. relaxation,"D. relaxation

When going to sleep, the body undergoes a series of changes, including the relaxation of muscles, a decrease in body temperature, and a slowing down of the heart rate. The body's parasympathetic nervous system takes over, promoting relaxation and reducing stress. This helps the body prepare for the restorative processes that occur during sleep, such as tissue repair and immune system regulation.","E. dreaming

When you go to sleep, your body undergoes various changes to prepare for rest and relaxation. One of the key processes that occur is the transition from wakefulness to sleep, which involves the onset of REM (rapid eye movement) sleep and the appearance of dreams. During this stage, your brain processes memories, emotions, and experiences, and translates them into the vivid images and narratives that make up your dreams.",True,False,False
5,"There was a long cottage somewhere.  People thought it was haunted.  It was overgrown, there was nothing near it.  It's was far into the what?",B. countryside,"A

The cottage was described as being far into the countryside, which suggests a rural area with a low population density, fitting the description of being overgrown and isolated.","A

It's far into the mountains.",False,False,True
6,If you are prone to postpone work what will you have to do in order to finish on time?,B. hasten,"D. bring forward

To finish work on time if you are prone to postpone it, you need to bring forward the completion date or the deadline, which means to move it forward in time, allowing you to complete the work before the original deadline.","D. bring forward

To finish work on time if you are prone to postpone it, you need to bring the completion date forward, which means starting or completing the work earlier than initially planned. This requires a change in your routine or schedule to ensure timely completion of tasks.",False,False,True
7,What would you do to a crime scene before asking a question?,E. analyse,"E. analyse

Before asking a question at a crime scene, it's essential to analyse the situation and the evidence present. This involves carefully observing the scene, taking note of any potential clues, and considering the context in which the crime occurred. By doing so, you can gather as much information as possible and ask informed questions that will help to further the investigation.","E

It's essential to preserve the integrity of the crime scene by not touching or contaminating any evidence. Before asking a question, an investigator would typically secure the area, document the scene, and take note of all relevant details. This includes thinking about the situation, but they would do this mentally, not by physically touching the crime scene.",True,True,True
8,"The child was politely waiting for dessert, he was eventually rewarded for his what?",E. patience,"E

The child was rewarded for his patience, as he was politely waiting for dessert, which implies that he was being patient and not getting frustrated or impatient while waiting.","E

The child was rewarded for his patience, as he was waiting politely for dessert, indicating that he was able to wait calmly and quietly for a period of time.",True,True,True
9,What do you feel when giving assistance to the needy?,E. satisfaction,"E. 

When giving assistance to the needy, one often experiences a sense of satisfaction. This is because helping others can bring a feeling of fulfillment and contentment, knowing that one's actions have made a positive impact on someone's life. This emotional response is often associated with acts of kindness and altruism, and is a common motivator for people to continue helping others.","E. 

When giving assistance to the needy, people often experience a sense of satisfaction. This is because helping others can provide a feeling of fulfillment, knowing that one's actions have positively impacted someone else's life. This emotional response can also be linked to the release of neurotransmitters such as dopamine, which is associated with feelings of pleasure and reward.",True,True,True
10,What do people do when networking?,A. build trust,"A. build trust

When networking, people typically engage in activities that help establish relationships and build trust with others, such as attending events, exchanging contact information, and engaging in conversations to learn more about each other's interests and goals. Building trust is a key aspect of successful networking, as it allows individuals to establish meaningful connections and potentially lead to new opportunities.","A. 

When networking, people typically engage in activities that help build relationships and establish connections with others. This often involves actively listening, sharing information, and forming a rapport with others, which is an essential part of building trust.",True,True,True
