,Question,Choices,Answer Match Greedy,Answer Match Self-consistency,Correct Answer,Greedy Answer,Self Answer,Approaches Agree
1,James couldn't get comfortable.  There was too much dirt.  He needed to clean out what?,A. ground B. subway C. bank D. bed E. street,True,True,D. bed,D. bed,D. bed,True
2,"She asked her little boy why, he replied that he didn't know and it was just what?",A. case B. reason C. how D. because E. answer,True,True,D. because,D. because,D. because,True
3,What is the main purpose of farmers?,A. raise cattle B. grow corn C. farm land D. drive tractors E. supply food,True,True,E. supply food,E. supply food,E. supply food,True
4,Where is a good place to put a hamburger?,A. resturant B. fast food restaurant C. mouth D. kitchen E. pizza,True,True,C. mouth,C. mouth,C. mouth,True
5,Where can you buy a two wheel transportation machine?,A. boat B. michigan C. train station D. bicycle shop E. trunk of car,True,True,D. bicycle shop,D. bicycle shop,D. bicycle shop,True
6,John and Tim like playing. It makes them what?,A. feeling happy B. learning C. injury D. burn E. get hungry,True,True,A. feeling happy,A. feeling happy,A. feeling happy,True
7,"The performer was ready to put on a show and stepped onto the launch platform, what was his job?",A. cape canaveral florida B. nasa C. battleship D. ocean E. trapeze,True,True,E. trapeze,E. trapeze,E. trapeze,True
8,"I picked from an apple tree outside of Fort Wayne, where am I?",A. woods B. illinois C. indiana D. washington state E. tampa,True,True,C. indiana,C. indiana,C. indiana,True
9,Who is the guard here for?,A. man post B. attack C. intimidation D. prisoner E. unprotected,True,True,D. prisoner,D. prisoner,D. prisoner,True
10,Metal is used to make what?,A. junkyard B. ore C. instruments D. metal fabrication shop E. bowls,True,True,C. instruments,C. instruments,C. instruments,True
11,Sally was bored because she didn't like the junk that was on what?,A. drawer B. garage C. caddy D. bed E. television,True,True,E. television,E. television,E. television,True
12,Sage loved communicating  He liked doing what with his peers?,A. exchanging ideas B. confusion C. peer pressure D. response E. learning,True,True,A. exchanging ideas,A. exchanging ideas,A. exchanging ideas,True
13,John was traveling to a new city and took time to check out a business.  He noticed that its carpet was stained with sauces and ketchup. What type of business might that be?,A. bedroom B. chair C. bowling alley D. at hotel E. restaurant,True,True,E. restaurant,E. restaurant,E. restaurant,True
14,While knitting you can do what using a radio?,A. listen to music B. watch television C. making blankets D. eat E. watching tv,True,True,A. listen to music,A. listen to music,A. listen to music,True
15,"If I'm playing ball, I'm mostly trying to do what?",A. losing B. competition C. having fun D. win E. injury,False,False,C. having fun,D. win,D. win,True
16,Where are you likely to set papers while working on them?,A. table B. meeting C. drawer D. toilet E. garage,True,True,A. table,A. table,A. table,True
17,What is the primary purpose of cars?,A. cost money B. slow down C. move people D. turn right E. get girls,True,True,C. move people,C. move people,C. move people,True
18,Where would a person live if they wanted no neighbors?,A. housing estate B. neighborhood C. mars D. woods E. suburbs,True,True,D. woods,D. woods,D. woods,True
19,"If for some reason you were to start killing people, what would you be likely to receive?",A. feelings of guilt B. prison sentence C. terrible D. encouragement E. die,True,True,B. prison sentence,B. prison sentence,B. prison sentence,True
20,When you travel you should what in case of unexpected costs?,A. go somewhere B. energy C. spend frivilously D. fly in airplane E. have money,True,True,E. have money,E. have money,E. have money,True
21,Running errands with screaming kids will likely cause what?,A. efficiency B. insanity C. aggravation D. tiredness E. stress,False,False,C. aggravation,E. stress,E. stress,True
22,What happens if someone kisses too long?,A. strong feelings B. herpes C. shortness of breath D. excitement E. arousal,False,False,C. shortness of breath,"The correct answer is D. excitement. While kissing can lead to strong feelings, arousal, and even shortness of breath due to increased heart rate, it does not directly cause herpes. Herpes is a sexually transmitted infection that requires skin-to-skin contact with an infected area, not just prolonged kissing.","A. strong feelings

Kissing for a long time can intensify feelings of affection, emotion, and connection between individuals. However, it's important to note that neither shortness of breath, excitement, arousal, nor herpes are direct results of kissing too long. While they may be associated feelings or reactions, they are not necessarily caused by the duration of the kiss itself.",False
23,What might someone believe in if they are cleaning clothes?,A. feminism B. sanitation C. ruined D. wrinkles E. buttons to fall off,True,True,B. sanitation,B. sanitation,B. sanitation,True
24,Where are there likely to be a variety of flats to choose from?,A. london B. apartment building C. city D. falling down E. town,True,True,C. city,"The correct answer is C. city. Cities often have a variety of flats to choose from due to their high population density and diverse housing options. However, it's important to note that specific areas within cities may have more or fewer options depending on factors such as location, price range, and availability. Other choices like London (A), town (E), apartment building (B), and falling down (D) can also potentially have flats, but the question was asking about a general location with a variety of options.","The answer is C. city. Cities, in general, tend to have a higher density of housing and a more diverse range of options, including flats, apartments, and houses. London, for example, is known for its extensive selection of flats, but it's not the only city with such diversity.",True
25,If i were to spit a lot without noticing i may have extra what?,A. phlegm B. saliva nd mouth C. disease D. germs E. spittle,False,False,B. saliva nd mouth,E. spittle,E. spittle,True
26,From where does a snowflake form?,A. cloud B. snow storm C. billow D. air E. snowstorm,True,True,A. cloud,A. cloud,A. cloud,True
27,Where would stones not be arranged in a path?,A. quarries B. field C. park D. bridge E. made from rocks,False,False,B. field,A. quarries,A. quarries,True
28,If you aren't well rested and it's a rainy day what might you do?,A. sleep B. write C. make bread D. stay in bed E. enjoy film,True,True,D. stay in bed,D. stay in bed,D. stay in bed,True
29,"The teacher played on the upright piano, she was explaining the song to all the students in the what?",A. music room B. bathroom C. house D. living room E. music store,True,True,A. music room,A. music room,A. music room,True
30,"The man acted ridiculous at the funeral, what attitude should he have taken?",A. straightforward B. serious C. solemn D. somber E. funny,False,False,C. solemn,"The correct answer is D. somber. A somber attitude is typically expected at a funeral, as it is a time for mourning and respect. The other choices (A. straightforward, B. serious, C. solemn, E. funny) are not appropriate for a funeral setting.","The correct answer is D. somber. A somber attitude is appropriate at a funeral, as it shows respect for the deceased and empathy for the family and friends who are grieving. The choices A, straightforward, B, serious, C, solemn, and E, funny, are all generally inappropriate for a funeral setting.",True
31,Where do most people make coffee?,A. coffee shop B. office C. table D. washing E. kitchen,True,True,E. kitchen,E. kitchen,E. kitchen,True
32,Where would you find a kosher deli along side a number of different places to eat?,A. los angeles B. food court C. new york city D. jewish community E. jewish neighborhoods,False,False,B. food court,C. New York City,C. New York City,True
33,Human beings learn about current events from what print item?,A. question authority B. melt C. read newspapers D. act E. dictionary,True,True,C. read newspapers,C. read newspapers,C. read newspapers,True
34,"The chief saw his entire tribe wiped out, he was a leader with a single what?",A. peon B. indian C. minister D. follower E. employee,False,False,D. follower,E. employee,E. employee,True
35,What type of geographic area will you find a marmot?,A. mountainous area B. wood pile C. jungle D. petting zoo E. animals,True,True,A. mountainous area,A. mountainous area,A. mountainous area,True
36,"The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?",A. living room B. floor C. warm place D. carpet E. farmhouse,False,False,B. floor,D. carpet,D. carpet,True
37,What is the opposite of a little of something?,A. much B. plenty C. more D. big E. lot of,True,True,E. lot of,E. lot of,E. lot of,True
38,After he got hired he hoped for success at his what?,A. vocation B. new job C. michigan D. working hard E. manual,True,True,B. new job,"The correct answer is B. new job. The context suggests that the person got hired and is hoping for success in his new position, not in a vocation, Michigan, working hard, or a manual (which could refer to a tool or a type of work).",B. new job,True
